season,week,home,away,actual_home,actual_away,home_offense,away_offense,home_defense,away_defense,home_special,away_special,home_flag
2023,4,FORDHAM,SCAR STATE,22.0,7.0,-1.409943388738597,-0.5007707775647916,-1.7452441756687065,1.0410431363432906,-0.4538081616993365,-1.0021084387500485,1.0
2023,4,STF AUSTIN,AUSTINPEAY,20.0,22.0,0.05656616677868452,0.8144659693235301,2.9520666271748364,0.9356497334864866,0.45027248803026365,0.181248428254045,1.0
2023,4,YNGTOWN ST,TENN STATE,38.0,35.0,0.71211745585225,-1.4442904903627436,-0.15711487345707886,-0.03971098180967482,0.571930068731088,0.6528000148453635,1.0
2023,4,PORTLAND,NICHOLLS,36.0,7.0,-0.8275116839199643,-1.1150956164930483,-2.563882642479473,0.45782983881228734,-0.900223034171643,-1.0176363999231084,1.0
2023,4,SAMFORD,N ARIZONA,20.0,21.0,-1.417078588316219,0.38744138608521855,-1.7221116235108924,-1.26912459954778,-0.4888822536807984,-0.07806032088312281,1.0
2023,4,FORDHAM,ILL STATE,14.0,17.0,-1.409943388738597,0.8922281869555811,-1.7452441756687065,-0.36962383709767366,-0.4538081616993365,0.04466637227059255,1.0
2023,4,VALPO,TEXAS STHN,6.0,38.0,-1.0849961420351748,-1.1775465298567604,-0.07718131250653014,0.3445744069126442,0.13584335914075105,0.6154930559108662,1.0
2023,4,TENN STATE,N IOWA,31.0,0.0,-1.4442904903627436,-1.169871222652456,-0.03971098180967482,0.2166626801741364,0.6528000148453635,-0.31405791703645686,1.0
2023,4,INDIANA ST,VALPO,45.0,38.0,-0.9180329824885721,-1.0849961420351748,-2.254710437840436,-0.07718131250653014,0.3190221237879174,0.13584335914075105,1.0
2023,4,PRESBYTERN,MAINE,37.0,34.0,1.6457673992556103,0.017062177929087496,2.1139255608551006,1.223308526032398,0.20304547204383816,-0.3791475197108194,1.0
2023,4,W CAROLINA,ILL STATE,37.0,30.0,-0.1347129082468058,0.8922281869555811,-0.018696535812455367,-0.36962383709767366,0.15085400983473038,0.04466637227059255,1.0
2023,4,INDIANA ST,TARLETON,29.0,27.0,-0.9180329824885721,2.1394274337397277,-2.254710437840436,2.6078892088952013,0.3190221237879174,0.9790818185711567,1.0
2023,4,TENN STATE,E WASHGTON,38.0,45.0,-1.4442904903627436,-1.258895767059131,-0.03971098180967482,-0.595314029440919,0.6528000148453635,0.7262465081940498,1.0
2023,4,WEBER ST,MONTANA ST,0.0,40.0,-0.4993835722759319,1.2075908069222054,-0.794282723501795,1.3889974749121834,-0.17353371508090912,0.3521873651203399,1.0
2023,4,SOUTHERN U,W ILLINOIS,37.0,17.0,-1.1314560826510645,-0.40124010814251504,-2.035293979773674,-1.2402389282111312,-0.9585375725755426,-0.5109433943155389,1.0
2023,4,BUTLER,BUCKNELL,28.0,45.0,0.28277155959235856,0.42979464569446424,-0.23466064433337774,-1.892378868086863,0.699152647408355,0.6338785517263008,1.0
2023,4,UC DAVIS,E WASHGTON,24.0,27.0,0.8777380953265025,-1.258895767059131,-0.06132401188045214,-0.595314029440919,0.1416858222433498,0.7262465081940498,1.0
2023,4,HAMPTON,PORTLAND,21.0,38.0,-1.2216177203259746,-0.8275116839199643,-0.9196061824692872,-2.563882642479473,-0.47815922194471383,-0.900223034171643,1.0
2023,4,E WASHGTON,W CAROLINA,59.0,32.0,-1.258895767059131,-0.1347129082468058,-0.595314029440919,-0.018696535812455367,0.7262465081940498,0.15085400983473038,1.0
2023,4,TENN STATE,TENN STATE,53.0,10.0,-1.4442904903627436,-1.4442904903627436,-0.03971098180967482,-0.03971098180967482,0.6528000148453635,0.6528000148453635,1.0
2023,4,STETSON,WAGNER,49.0,7.0,-0.5812056460431352,-1.5157893165222225,-1.445508920788252,-0.5709335107307797,-0.24871685764792445,-1.0665711603480736,1.0
2023,4,CENT CT ST,LIUSHAR,17.0,20.0,-0.22501441272527822,-0.9544405585756991,0.3192621714350635,1.24385940646104,-0.068955224174543,-0.3779621002260659,1.0
2023,4,ABILENE CH,E WASHGTON,9.0,28.0,0.04882547420016461,-1.258895767059131,-0.028466929388045133,-0.595314029440919,0.3552485895229257,0.7262465081940498,1.0
2023,5,E KENTUCKY,E TENN ST,31.0,10.0,-1.5699099644996932,-0.2688673470106958,0.794782467704032,-0.6190284856668062,-0.14316718419464555,0.04305997646930834,1.0
2023,5,STHLSK,BUTLER,48.0,26.0,-1.526151090783864,0.28277155959235856,0.5185993091137667,-0.23466064433337774,-0.2518026042702961,0.699152647408355,1.0
2023,5,STF AUSTIN,JACKSON ST,28.0,35.0,0.05656616677868452,0.9681529251291328,2.9520666271748364,0.4627948863937006,0.45027248803026365,0.10685665570152988,1.0
2023,5,STETSON,COLGATE,75.0,17.0,-0.5812056460431352,0.5143821775656952,-1.445508920788252,-0.9609138032143459,-0.24871685764792445,-0.08606441152432422,1.0
2023,5,PRINCETON,COLUMBIA,10.0,7.0,0.24933094139211232,-0.83260564569016,-0.6174800375998929,-0.5795250410594495,0.14925344732480952,-1.3087929797891282,1.0
